Id.,Proyecto,Informador,Asignada a,Prioridad,Gravedad,Reproducibilidad,Versión del producto,Categoría,Fecha de envío,SO,Versión de SO,Plataforma,Visibilidad,Actualizada,Resumen,Estado,Resolución,Resuelta en versión
0000013,Curso,usuario0,,normal,menor,no se ha intentado,,General,2024-05-15,,,,público,2024-05-15,Test Case: /Proyecto LogiRail/Sistema de asistencia/Pruebas de rendimiento/QA2-28:Registros de entrada/salida por segund,nueva,abierta,
0000012,Curso,usuario0,,normal,menor,no se ha intentado,,General,2024-05-13,,,,público,2024-05-13,...est Case: /Proyecto LogiRail/Sistema de asistencia/Pruebas de rendimiento/QA2-27:Acciones simultáneas para un mismo usu,nueva,abierta,
0000011,Curso,usuario0,,normal,menor,no se ha intentado,,General,2024-05-13,,,,público,2024-05-13,Test Case: /Proyecto LogiRail/Sistema de asistencia/Pruebas de rendimiento/QA2-26:Uso continuo por 24 horas - Execution,nueva,abierta,
0000010,Curso,usuario0,,normal,menor,no se ha intentado,,General,2024-05-13,,,,público,2024-05-13,Test Case: /Proyecto LogiRail/Sistema de asistencia/Pruebas de rendimiento/QA2-25:Tiempo de respuesta al registrar entra,nueva,abierta,
0000009,Curso,usuario0,,normal,menor,no se ha intentado,,General,2024-05-13,,,,público,2024-05-13,Test Case: /Proyecto LogiRail/Sistema de asistencia/Pruebas de rendimiento/QA2-24:Incremento gradual de usuarios - Execu,nueva,abierta,
0000008,Curso,usuario0,,normal,menor,no se ha intentado,,General,2024-05-13,,,,público,2024-05-13,Test Case: /Proyecto LogiRail/Sistema de asistencia/Pruebas de rendimiento/QA2-23:Acceso continuo durante 8 horas: - Exe,nueva,abierta,
0000007,Curso,usuario0,,normal,menor,no se ha intentado,,General,2024-05-13,,,,público,2024-05-13,...st Case: /Proyecto LogiRail/Sistema de asistencia/Pruebas de rendimiento/QA2-22:Número de usuarios simultáneos en el m,nueva,abierta,
0000006,Curso,usuario0,,normal,menor,no se ha intentado,,General,2024-04-29,,,,público,2024-04-29,...Proyecto LogiRail/Sistema de asistencia/Primas/método updateBonus/QA2-5:Salario menor a 500 presencial -  Executed ON (,nueva,abierta,
0000005,Curso,usuario0,,normal,menor,no se ha intentado,,General,2024-04-29,,,,público,2024-04-29,...Proyecto LogiRail/Sistema de asistencia/Primas/método updateBonus/QA2-5:Salario menor a 500 presencial -  Executed ON (,nueva,abierta,
0000004,Curso,usuario0,,normal,menor,no se ha intentado,,General,2024-04-29,,,,público,2024-04-29,...Proyecto LogiRail/Sistema de asistencia/Primas/método updateBonus/QA2-8:Salario mayor o igual a 500 remoto -  Executed,nueva,abierta,
0000003,Curso,usuario0,,normal,menor,no se ha intentado,,General,2024-04-26,,,,público,2024-04-26,...Proyecto LogiRail/Sistema de asistencia/Primas/método updateBonus/QA2-8:Salario mayor o igual a 500 remoto -  Executed,nueva,abierta,
0000002,Curso,usuario0,,normal,menor,no se ha intentado,,General,2024-04-26,,,,público,2024-04-26,...Proyecto LogiRail/Sistema de asistencia/Primas/método updateBonus/QA2-8:Salario mayor o igual a 500 remoto -  Executed,nueva,abierta,
0000001,Curso,usuario0,,normal,menor,no se ha intentado,,General,2024-04-26,,,,público,2024-04-26,/Proyecto LogiRail/Productos/Metodo updateQuality/Estandar/QA2-1:Con dias pero sin calidad suficiente -  Executed ON (IS,nueva,abierta,
